point_id,patch_label,patch_source,center_sigma,center_rho,center_beta,center_nucleus,sigma,rho,beta
P0260,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.75,2.5321
P0261,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.0,2.4179000000000004
P0262,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.0,2.4464500000000005
P0263,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.0,2.475
P0264,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.0,2.5035499999999997
P0265,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.0,2.5321
P0266,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.25,2.4179000000000004
P0267,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.25,2.4464500000000005
P0268,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.25,2.475
P0269,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.25,2.5035499999999997
P0270,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.25,2.5321
P0271,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.5,2.4179000000000004
P0272,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.5,2.4464500000000005
P0273,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.5,2.475
P0274,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.5,2.5035499999999997
P0275,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,99.5,2.5321
P0276,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.5,2.4179000000000004
P0277,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.5,2.4464500000000005
P0278,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.5,2.475
P0279,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.5,2.5035499999999997
P0280,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.5,2.5321
P0281,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.75,2.4179000000000004
P0282,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.75,2.4464500000000005
P0283,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.75,2.475
P0284,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.75,2.5035499999999997
P0285,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,98.75,2.5321
P0286,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.0,2.4179000000000004
P0287,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.501650000000001,99.0,2.4464500000000005
